

==================== CO1 ====================
[2M | Remember | 1 (Easy)] What is DBMS?
[10M | Evaluate | 3 (Difficult)] Evaluate the use of foreign keys as a tool for maintaining referential integrity. Is there any alternative?
[10M | Analyze | 3 (Difficult)] Why is mapping specialization and generalization from EER to relational models not always straightforward?
[10M | Evaluate | 3 (Difficult)] Critically examine why some real-world scenarios might challenge the assumptions of the relational model.
[10M | Analyze | 3 (Difficult)] How does the relational model address data redundancy compared to the ER model? Examine both perspectives.
[10M | Analyze | 3 (Difficult)] Analyze the potential challenges in designing an ER diagram for a dynamic real-world application like an e-commerce platform.
[10M | Evaluate | 3 (Difficult)] Evaluate the trade-offs between using 1:N and M:N relationships in an ER model. How does each impact database performance and complexity?
[10M | Evaluate | 3 (Difficult)] Discuss the opposing viewpoints on the necessity of following all of Codd’s rules in modern relational database systems.
[10M | Evaluate | 3 (Difficult)] Consider two different perspectives: a data analyst and a database architect. How might their views on normalization differ, and why?
[10M | Evaluate | 3 (Difficult)] Evaluate the benefits and drawbacks of automating ER to relational model conversion versus manual mapping. Consider industry and academic perspectives.
[10M | Evaluate | 3 (Difficult)] How might the decision to use composite keys instead of surrogate keys affect database performance and scalability?
[10M | Apply | 2 (Average)] What implications would arise from failing to normalize a database derived from an ER model? Discuss how it would affect data consistency and redundancy.
[10M | Evaluate | 3 (Difficult)] How does choosing not to follow Codd’s rules in the relational model design affect data integrity? Discuss potential real-world scenarios.
[10M | Analyze | 3 (Difficult)] Discuss the implications of incorrect mapping from EER to the relational model. What challenges might arise during query execution?
[10M | Analyze | 3 (Difficult)] What could happen if an organization ignores referential integrity while implementing relationships in the relational model?
[10M | Evaluate | 3 (Difficult)] If an EER model lacks proper generalization and aggregation, what impact might this have on representing complex organizational hierarchies?
[10M | Evaluate | 3 (Difficult)] Consider the decision to eliminate M:N relationships by introducing intermediate tables. What are the potential implications for query complexity?
[10M | Analyze | 3 (Difficult)] Reflect on the advantages and challenges of using an ER model to represent a hospital's database system. What trade-offs must be considered in terms of scalability?
[10M | Evaluate | 3 (Difficult)] Consider the role of Codd’s rules in ensuring relational database quality. Reflect on how ignoring these rules might affect long-term data integrity and usability.
[10M | Analyze | 3 (Difficult)] Reflect on a situation where incorrect mapping of EER concepts like generalization or aggregation to the relational model caused design issues. Propose improvements.
[10M | Evaluate | 3 (Difficult)] Discuss how the relationships in an ER model could be optimized to handle future growth of a large-scale e-commerce platform. Reflect on scalability and complexity.
[10M | Analyze | 3 (Difficult)] Consider a real-world scenario where normalization (up to 3NF) was not applied during database design. Reflect on the consequences of this decision in the long term.
[10M | Evaluate | 3 (Difficult)] Reflect on how decisions regarding the use of surrogate keys over composite keys might influence data retrieval efficiency in a relational database.
[10M | Evaluate | 3 (Difficult)] Reflect on a scenario where database designers failed to account for many-to-many (M:N) relationships. How might this omission impact system functionality?
[10M | Analyze | 3 (Difficult)] Analyze how the omission of referential integrity constraints could compromise the validity of relationships in a relational database system. Reflect on mitigation steps.
[10M | Analyze | 3 (Difficult)] Reflect on the challenges of implementing specialization and generalization in a dynamic database environment, such as one for ride-sharing services.
[10M | Apply | 3 (Difficult)] Discuss the significance of primary, candidate, and foreign keys in the relational model. How do these keys enforce data integrity?
[10M | Understand | 3 (Difficult)] Illustrate the concept of specialization and generalization in the Extended ER model. How can they be mapped to a relational database?
[10M | Apply | 2 (Average)] Describe the process of mapping an ER diagram to a relational model. Highlight the steps with a real-world example.
[10M | Understand | 3 (Difficult)] Discuss Codd’s 12 rules for relational databases. Which of these rules are most critical for ensuring data integrity?
[10M | Apply | 3 (Difficult)] How do generalization and specialization contribute to hierarchical modeling in databases? Provide an example where both are used effectively.
[10M | Understand | 3 (Difficult)] What is the significance of mapping cardinality constraints in an ER diagram? How are these constraints translated in the relational model?
[10M | Create | 3 (Difficult)] Think about the data you manage daily (e.g., contacts, tasks, or expenses). How would you design an ER diagram to organize this data efficiently?
[10M | Evaluate | 3 (Difficult)] How would the absence of primary and foreign keys in a database impact its reliability and usability? Relate this to a personal or observed example.
[10M | Create | 3 (Difficult)] If you were tasked with designing a database for your favorite hobby or activity, what challenges would you face in creating an ER diagram?
[10M | Analyze | 3 (Difficult)] Reflect on the concept of normalization in relational databases. How might improper normalization have caused issues in systems you've encountered?
[10M | Evaluate | 3 (Difficult)] Imagine designing a relational database for a community project. What factors would you consider to ensure inclusivity and accessibility?
[10M | Create | 3 (Difficult)] If you were to explain the significance of the relational model to someone outside the technical field, what real-world analogy would you use?


==================== CO3 ====================
[2M | Apply | 1] Write the syntax of SQL Rename operation.
[2M | Understand | 2] What is a tuple variable and write the syntax of its usage.
[2M | Analyze | 2] Can we drop a primary key constraint? If so, what is the syntax of that query?
[2M | Apply | 1] Give the different syntaxes of SELECT query.
[2M | Apply | 1] In which type of Query is the WHERE clause used?
[2M | Apply | 2] How do you order tuples in alphabetical order?
[2M | Apply | 2] Write the SQL query to find average salary of all emplyees working in an organisation.
[2M | Remember | 1 (Easy)] What does SQL stand for?
[2M | Remember | 1 (Easy)] Which SQL command is used to retrieve data from a database?
[2M | Understand | 1 (Easy)] What is the primary purpose of the CREATE TABLE SQL statement?
[2M | Understand | 1 (Easy)] In SQL, which of the following is used to ensure the accuracy and reliability of data in a database? a) Integrity Constraints b) Data Definition Language c) Transaction Control Language d) Foreign Key Constraints
[2M | Understand | 1 (Easy)] What does the INSERT INTO SQL command do?
[2M | Remember | 1 (Easy)] Which of the following is a valid SQL Data Type for storing text? a) INT b) TEXT c) DATE d) FLOAT
[2M | Understand | 1 (Easy)] Which SQL statement is used to remove rows from a table?
[2M | Understand | 1 (Easy)] In SQL, which clause is used to filter the results of a query after the data is grouped? a) WHERE b) GROUP BY c) HAVING d) ORDER BY
[2M | Apply | 2 (Average)] What is the purpose of GROUP BY clause in SQL?
[2M | Understand | 1 (Easy)] What is the function of UPDATE SQL command in SQL?
[5M | Apply | 2] Write a note on SQL String Matching operations
[5M | Understand | 2] How is the ordering of tuples carried out in a SQL query? Give its syntax.
[5M | Apply | 2] Explain aggregate functions and set operations in SQL with examples.
[5M | Understand | 2] How is the concatenation of two strings carried out in SQL?
[5M | Understand | 2] What is the process of inserting multiple records into a relation in SQL?
[5M | Understand | 2] Write a note on group by and having clause in SQL.
[5M | Analyze | 2 (Average)] Explain the difference between HAVING and WHERE clause in SQL.
[5M | Apply | 2 (Average)] Write an SQL query to retrieve the names of employees whose salary is above 50000 from the employees table.
[5M | Understand | 2 (Average)] What is the purpose of FOREIGN KEY in SQL?
[5M | Apply | 2 (Average)] Write an SQL query to count the total number of rows in a students table.
[5M | Understand | 2 (Average)] How would you define a PRIMARY KEY in SQL? What is its role in relational database management?
[5M | Analyze | 2 (Average)] What does TRUNCATE do in SQL, and how is it different from DELETE?
[5M | Apply | 2 (Average)] Write an SQL query to display the average salary of employees working in each department.
[5M | Analyze | 3 (Difficult)] What is the difference between INNER JOIN and OUTER JOIN in SQL?
[5M | Analyze | 2 (Average)] SQL is considered a declarative language, meaning that you only specify the desired result, not how to achieve it. What assumptions underlie this declarative nature?
[5M | Evaluate | 2 (Average)] Why is the GROUP BY clause often misunderstood in SQL, particularly when applied with HAVING? What assumptions are involved in grouping data for aggregation?
[5M | Evaluate | 3 (Difficult)] Do you believe that SQL's use of NULL values is problematic for database design and querying? Why or why not? Challenge the common belief about handling NULL values.
[5M | Evaluate | 2 (Average)] Consider the role of PRIMARY KEY in relational databases. Do you think it’s always essential for every table to have a primary key? Why or why not?
[5M | Evaluate | 3 (Difficult)] FOREIGN KEY constraints are commonly enforced in relational databases. What could be the consequences of loosening or removing FOREIGN KEY constraints in SQL?
[5M | Evaluate | 2 (Average)] Is it true that all SQL commands are case-insensitive? If not, explain the assumptions regarding case sensitivity in SQL and how it might affect queries.
[5M | Create | 2 (Average)] In SQL, is it always necessary to use JOIN operations for combining tables, or are there alternative ways to retrieve and associate data from different tables?
[5M | Understand | 2 (Average)] Why is the Data Definition Language (DDL) used to define the structure of a database, and what role does it play in ensuring database integrity? Provide evidence from database design principles.
[5M | Understand | 2 (Average)] What is the rationale behind using Data Manipulation Language (DML) commands like INSERT, UPDATE, and DELETE? How do these commands contribute to the overall database functionality?
[5M | Analyze | 2 (Average)] Why is it important to distinguish between Data Control Language (DCL) and Transaction Control Language (TCL)? What purpose do they serve in maintaining security and database consistency?
[5M | Analyze | 2 (Average)] SQL is considered a declarative language, where you describe what to do, not how to do it. Why is this distinction important for database querying and optimization?
[5M | Understand | 2 (Average)] Why do constraints like NOT NULL, CHECK, and DEFAULT play an essential role in ensuring data integrity in a relational database? Provide examples to support your explanation.
[5M | Apply | 2 (Average)] What are the reasons behind using aggregate functions like COUNT, SUM, and AVG in SQL? How do these functions support data analysis and decision-making in business applications?
[5M | Understand | 2 (Average)] Explain why the GROUP BY clause is required in conjunction with aggregate functions. What does it accomplish in SQL queries? What evidence supports its use for grouping data efficiently?
[5M | Analyze | 2 (Average)] What are the reasons behind using HAVING in SQL queries instead of WHERE when filtering aggregated results? Explain why both clauses serve different purposes in data queries.
[5M | Apply | 1 (Easy)] Write an SQL query to create a table Student with the following attributes: Student_ID (Primary Key), First_Name, Last_Name, DOB, Enrollment_Date.
[5M | Apply | 1 (Easy)] Given the table Employees (Emp_ID, Emp_Name, Emp_Salary, Dept_ID), write an SQL query to retrieve the names and salaries of employees whose salary is greater than 50000.
[5M | Apply | 2 (Average)] Write an SQL query to add a column Email (VARCHAR) to the existing Students table.
